libxmu 1.3.1-1.1
libxnvctrl 590.48.01-2
libxpm 3.5.18-1.1
libxrandr 1.5.5-1.1
libxrender 0.9.12-1.1
libxres 1.2.3-1.1
libxshmfence 1.3.3-1.1
libxslt 1.1.45-2.1
libxss 1.2.5-1.1
libxt 1.3.1-1.1
libxtst 1.2.5-1.1
libxv 1.0.13-1.1
libxxf86vm 1.1.7-1.1
libyaml 0.2.5-3.1
libyuv r2426+464c51a03-1.1
libzip 1.11.4-1.2
licenses 20240728-1
lidarr-bin 3.1.0.4875-1
lilv 0.26.2-3
limine 10.6.3-1
limine-mkinitcpio-hook 1.29.0-3
limine-snapper-sync 1.22.0-3
linux-api-headers 1:6.18-1
